formula,MUC,time(ms),binary,binaryuc
pltl-12-0-6-3-0-200003.alaska,['(false R (((X p5) | (X p7)) | (X (! p4))))'],0,0,0
pltl-12-0-12-3-0-200007.alaska,['(false R (((X (! p7)) | (X (! p5))) | (X p1)))'],0,0,0
pltl-12-0-58-3-0-200006.alaska,['(false R (((X (! p6)) | (X (! p11))) | (X (! p1))))'],0,20,10
pltl-5-0-32-3-0-200005.alaska,['(false R (((X (! p3)) | (X p4)) | (X p1)))'],0,0,0
pltl-12-0-14-3-0-200005.alaska,['(false R (((X (! p11)) | (X (! p12))) | (X (! p3))))'],0,0,0
pltl-12-0-7-3-0-200005.alaska,['(false R (((X (! p12)) | (X (! p10))) | (X p5)))'],0,0,0
pltl-5-0-22-3-0-200002.alaska,['(false R (((X (! p1)) | (X p3)) | (X (! p2))))'],0,0,0
pltl-12-0-47-3-0-200002.alaska,['(false R (((X (! p3)) | (X (! p4))) | (X (! p12))))'],0,10,10
pltl-12-0-19-3-0-200006.alaska,['(false R (((X (! p4)) | (X p5)) | (X (! p11))))'],0,0,0
phltl_25_24.alaska,"['(false R (true U p7))', '(false R ((! p7) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p7))))))))))))))))))))))))))']",0,1620,680
pltl-12-0-40-3-0-200007.alaska,['(false R (((X p11) | (X p7)) | (X p10)))'],0,0,0
pltl-12-0-53-3-0-200003.alaska,['(false R (((X (! p4)) | (X (! p8))) | (X (! p10))))'],0,20,30
pltl-5-0-18-3-0-200000.alaska,['(false R (((X (! p5)) | (X (! p3))) | (X p4)))'],0,0,0
pltl-5-0-11-3-0-200000.alaska,['(false R (((X (! p2)) | (X (! p4))) | (X p3)))'],0,0,0
pltl-12-0-22-3-0-200009.alaska,['(false R (((X (! p3)) | (X p2)) | (X p7)))'],0,0,0
pltl-5-0-35-3-0-200005.alaska,['(false R (((X (! p3)) | (X p2)) | (X (! p5))))'],0,0,0
pltl-5-0-32-3-0-200000.alaska,['(false R (((X (! p4)) | (X p3)) | (X p5)))'],0,0,0
pltl-5-0-17-3-0-200003.alaska,['(false R (((X p5) | (X p4)) | (X p2)))'],0,0,0
pltl-5-0-4-3-0-200009.alaska,['(false R (((X p2) | (X (! p4))) | (X p5)))'],0,0,0
pltl-12-0-16-3-0-200002.alaska,['(false R (((X p6) | (X (! p8))) | (X (! p4))))'],0,0,0
pltl-5-0-15-3-0-200005.alaska,['(false R (((X p5) | (X (! p1))) | (X p2)))'],0,0,0
pltl-12-0-1-3-0-200008.alaska,['(false R (((X p1) | (X p2)) | (X p10)))'],0,0,0
pltl-12-0-47-3-0-200008.alaska,['(false R (((X p7) | (X p10)) | (X (! p6))))'],0,10,10
pltl-5-0-19-3-0-200007.alaska,['(false R (((X p1) | (X p3)) | (X (! p2))))'],0,0,0
demo-v3_cl_9.alaska,"['(false R (true U req8))', '(false R ((! req8) | (((X grant8) | (X (X grant8))) | (X (X (X grant8))))))']",0,20,0
pltl-12-0-9-3-0-200005.alaska,['(false R (((X p11) | (X p2)) | (X p1)))'],0,0,0
pltl-5-0-12-3-0-200001.alaska,['(false R (((X p4) | (X (! p2))) | (X (! p3))))'],0,0,0
pltl-5-0-22-3-0-200005.alaska,['(false R (((X (! p2)) | (X p3)) | (X p4)))'],0,0,0
pltl-12-0-22-3-0-200007.alaska,['(false R (((X (! p3)) | (X p8)) | (X (! p10))))'],0,0,0
pltl-12-0-10-3-0-200004.alaska,['(false R (((X (! p12)) | (X p6)) | (X (! p10))))'],0,0,0
phltl_9_8.alaska,"['(false R ((! p9) | (X (X (X (X (X (X (X (X p9))))))))))', '(false R (true U p9))']",0,50,30
unsat210.txt,"['(false R ((! delivered) | ((! send) U ack)))', '((false R ((! ack) & delivered)) | (false R (X ((! ack) & send))))']",0,0,0
pltl-5-0-3-3-0-200002.alaska,['(false R (((X (! p4)) | (X p2)) | (X p1)))'],0,0,0
pltl-12-0-39-3-0-200005.alaska,['(false R (((X (! p6)) | (X p10)) | (X (! p9))))'],0,0,10
pltl-12-0-11-3-0-200005.alaska,['(false R (((X (! p3)) | (X (! p10))) | (X (! p8))))'],0,0,0
pltl-5-0-10-3-0-200009.alaska,['(false R (((X p2) | (X (! p3))) | (X p4)))'],0,0,0
pltl-5-0-21-3-0-200005.alaska,['(false R (((X (! p4)) | (X (! p5))) | (X p1)))'],0,0,0
pltl-12-0-2-3-0-200004.alaska,['(false R (((X (! p3)) | (X (! p8))) | (X p12)))'],0,0,0
pltl-5-0-10-3-0-200003.alaska,['(false R (((X p5) | (X p4)) | (X p2)))'],0,0,0
pltl-5-0-20-3-0-200001.alaska,['(false R (((X p4) | (X (! p1))) | (X (! p5))))'],0,0,0
pltl-12-0-45-3-0-200007.alaska,['(false R (((X (! p8)) | (X p1)) | (X (! p6))))'],0,10,10
pltl-5-0-40-3-0-200003.alaska,['(false R (((X (! p5)) | (X p3)) | (X (! p4))))'],0,0,0
pltl-12-0-47-3-0-200007.alaska,['(false R (((X (! p12)) | (X p1)) | (X p7)))'],0,10,20
pltl-12-0-44-3-0-200001.alaska,['(false R (((X (! p12)) | (X (! p6))) | (X (! p10))))'],0,0,10
