formula,MUC,time(ms)
pltl-12-0-6-3-0-200003.alaska,['(false R (((X p5) | (X p7)) | (X (! p4))))'],0
pltl-12-0-12-3-0-200007.alaska,['(false R (((X (! p9)) | (X p6)) | (X p12)))'],0
pltl-12-0-58-3-0-200006.alaska,['(false R (((X (! p10)) | (X (! p8))) | (X p11)))'],10
lift_11.alaska,"['(false R (((((((((((((! u) | (((((((((((((! f0) | (X f0)) & ((N (! f0)) | f0)) & (((! f1) | (X f1)) & ((N (! f1)) | f1))) & (((! f2) | (X f2)) & ((N (! f2)) | f2))) & (((! f3) | (X f3)) & ((N (! f3)) | f3))) & (((! f4) | (X f4)) & ((N (! f4)) | f4))) & (((! f5) | (X f5)) & ((N (! f5)) | f5))) & (((! f6) | (X f6)) & ((N (! f6)) | f6))) & (((! f7) | (X f7)) & ((N (! f7)) | f7))) & (((! f8) | (X f8)) & ((N (! f8)) | f8))) & (((! f9) | (X f9)) & ((N (! f9)) | f9))) & (((! f10) | (X f10)) & ((N (! f10)) | f10)))) & ((! f0) | (X (f0 | f1)))) & ((! f1) | (X ((f0 | f1) | f2)))) & ((! f2) | (X ((f1 | f2) | f3)))) & ((! f3) | (X ((f2 | f3) | f4)))) & ((! f4) | (X ((f3 | f4) | f5)))) & ((! f5) | (X ((f4 | f5) | f6)))) & ((! f6) | (X ((f5 | f6) | f7)))) & ((! f7) | (X ((f6 | f7) | f8)))) & ((! f8) | (X ((f7 | f8) | f9)))) & ((! f9) | (X ((f8 | f9) | f10)))) & ((! f10) | (X (f9 | f10)))))', 'f0']",20
pltl-5-0-32-3-0-200005.alaska,['(false R (((X p1) | (X (! p5))) | (X p3)))'],0
unsat112.txt,"['(false R ((! m) | (X (! p))))', '(true U (((h & (! m)) & p) & (X (((! h) & (! p)) | (h & (m | (! p)))))))', '(false R ((! h) | (X p)))']",0
spec_cl_14.alaska,"['(false R ((! hready) | ((hgrant0 & (X ((((! hmaster0) & (! hmaster1)) & (! hmaster2)) & (! hmaster3)))) | ((! hgrant0) & (X (((hmaster0 | hmaster1) | hmaster2) | hmaster3))))))', '(false R (true U hready))']",550
unsat171.txt,"['(false R ((! p) | (s R (q | s))))', '((q & (! r)) | (p & ((! s) U ((! q) & (! s)))))', '(false R ((! q) | r))']",0
pltl-12-0-14-3-0-200005.alaska,['(false R (((X (! p10)) | (X p5)) | (X (! p12))))'],0
unsat104.txt,"['((true U (m & (X p))) R (h | (true U (m & (X p)))))', '(false R ((! m) | (X (! p))))', '(false R ((! h) | (X p)))']",0
counter15.alaska,"['a', '(false R ((! a) | (((((((((((((((X (! a)) & (X (X (! a)))) & (X (X (X (! a))))) & (X (X (X (X (! a)))))) & (X (X (X (X (X (! a))))))) & (X (X (X (X (X (X (! a)))))))) & (X (X (X (X (X (X (X (! a))))))))) & (X (X (X (X (X (X (X (X (! a)))))))))) & (X (X (X (X (X (X (X (X (X (! a))))))))))) & (X (X (X (X (X (X (X (X (X (X (! a)))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (! a))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (! a)))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (X (! a))))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (X (X (! a)))))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X a))))))))))))))))))']",120
pltl-12-0-7-3-0-200005.alaska,['(false R (((X (! p11)) | (X (! p9))) | (X (! p6))))'],0
unsat41.txt,"['(false R (p | ((! m) & (X l))))', '((X (false R ((! l) & (! m)))) | (true U ((! p) & (X (! l)))))', '(false R ((l | (! p)) | m))']",0
counterLinear15.alaska,"['(false R ((! a) | (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X a)))))))))))))))))))))))))))))))', 'a']",180
unsat105.txt,"['(X ((true U (m & (X p))) R (h | (true U (m & (X p))))))', '(false R ((! m) | (X (! p))))', '(false R ((! h) | (X p)))']",0
pltl-5-0-22-3-0-200002.alaska,['(false R (((X p5) | (X (! p3))) | (X p2)))'],0
pltl-12-0-84-3-0-200000.alaska,['(false R (((X (! p7)) | (X p9)) | (X p6)))'],40
unsat149.txt,"['(false R ((! q) | p))', '(((! p) & q) | (true U (p & (false R (! q)))))', '(false R ((! p) | (true U q)))']",0
pltl-12-0-47-3-0-200002.alaska,['(false R (((X (! p6)) | (X p4)) | (X p2)))'],10
counterCarry16.alaska,"['a', '(false R ((! a) | ((((((((((((((((X (! a)) & (X (X (! a)))) & (X (X (X (! a))))) & (X (X (X (X (! a)))))) & (X (X (X (X (X (! a))))))) & (X (X (X (X (X (X (! a)))))))) & (X (X (X (X (X (X (X (! a))))))))) & (X (X (X (X (X (X (X (X (! a)))))))))) & (X (X (X (X (X (X (X (X (X (! a))))))))))) & (X (X (X (X (X (X (X (X (X (X (! a)))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (! a))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (! a)))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (X (! a))))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (X (X (! a)))))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (! a))))))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X a)))))))))))))))))))']",170
spec_c_4.alaska,['(false R ((((! BtoS_ACK3) & (X BtoS_ACK3)) & (X (SLC0 & SLC1))) | ((BtoS_ACK3 | (X (! BtoS_ACK3))) & (X ((! SLC0) | (! SLC1))))))'],320800
unsat198.txt,"['(false R ((! ta) | (! go)))', '(false R ((! tc) | (! cc)))', '(false R ((N (! cc)) | (ca & go)))', '(false R (((! ta) | (X tc)) & ((N (! tc)) | ta)))', '((((true U (go & ta)) | (true U (cc & tc))) | (true U ((ta & (X (! tc))) | ((! ta) & (X tc))))) | (((! ca) | (! go)) & (X cc)))']",0
pltl-12-0-19-3-0-200006.alaska,['(false R (((X (! p6)) | (X (! p1))) | (X p12)))'],0
phltl_25_24.alaska,"['(false R (true U p13))', '(false R ((! p13) | (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X p13))))))))))))))))))))))))))']",680
pltl-12-0-40-3-0-200007.alaska,['(false R (((X p6) | (X (! p9))) | (X (! p5))))'],0
pltl-12-0-53-3-0-200003.alaska,['(false R (((X p3) | (X (! p11))) | (X p9)))'],30
pltl-5-0-18-3-0-200000.alaska,['(false R (((X (! p2)) | (X (! p5))) | (X (! p3))))'],0
forobotsr1f0_FGn_mf.alaska,"['(false R (((((((((((((((((((((! rob) | (! re)) | (! pr)) | (X l)) & ((((! rob) | (! re)) | pr) | (X re))) & (((! rob) | (! l)) | (X ra))) & (((((! rob) | (! ra)) | ps) | ff) | (X ra))) & ((((! rob) | (! ra)) | (! ps)) | (X h1))) & (((((! rob) | (! ra)) | ps) | (! ff)) | (X mf))) & (((((! rob) | (! mf)) | ps) | (! ff)) | (X (mf | g)))) & (((((! rob) | (! mf)) | ps) | ff) | (X s1))) & ((((! rob) | (! mf)) | (! ps)) | (X h1))) & ((((! rob) | (! s1)) | (! ps)) | (X h1))) & (((((! rob) | (! s1)) | ps) | (! ff)) | (X mf))) & ((((((! rob) | (! s1)) | ps) | pt) | ff) | (X s1))) & ((((((! rob) | (! s1)) | ps) | (! pt)) | ff) | (X ra))) & (((! rob) | (! h1)) | (X (h1 | re)))) & (((! rob) | (! g)) | (X mh))) & (((! rob) | (! mh)) | (X (mh | d)))) & (((! rob) | (! d)) | (X re))) & ((! rob) | (X rob))))', 'rob']",0
pltl-12-0-84-3-0-200002.alaska
unsat103.txt,"['(true U ((m & (X p)) | (false R h)))', '(false R ((! m) | (X (! p))))', '(false R ((! h) | (X p)))']",0
spec_c_8.alaska,['(false R (((RtoB_ACK0 & (X (! RtoB_ACK0))) | (RtoB_ACK1 & (X (! RtoB_ACK1)))) | (X (! DEQ))))'],470
pltl-5-0-11-3-0-200000.alaska,['(false R (((X p1) | (X p3)) | (X (! p4))))'],0
unsat203.txt,"['(X ((false R ((! ack) & delivered)) | (true U ((ack & (! delivered)) & send))))', '(false R ((! send) | ((! ack) U delivered)))', '(false R ((! delivered) | ((! send) U ack)))']",0
pltl-12-0-22-3-0-200009.alaska,['(false R (((X (! p3)) | (X (! p1))) | (X p10)))'],0
pltl-5-0-35-3-0-200005.alaska,['(false R (((X p4) | (X p1)) | (X (! p2))))'],0
unsat161.txt,"['(false R ((! p) | (s R (q | s))))', '((q & (! r)) | (p & ((! s) U ((! q) & (! s)))))', '(false R ((! q) | r))']",0
pltl-5-0-32-3-0-200000.alaska,['(false R (((X p1) | (X p4)) | (X (! p5))))'],0
pltl-5-0-17-3-0-200003.alaska,['(false R (((X p5) | (X p4)) | (X (! p2))))'],0
pltl-5-0-4-3-0-200009.alaska,['(false R (((X p2) | (X (! p4))) | (X p5)))'],0
pltl-12-0-16-3-0-200002.alaska,['(false R (((X (! p6)) | (X p5)) | (X p9)))'],0
unsat69.txt,"['(false R ((! a) | m))', '(false R (h | (! n)))', '(false R (n | (! i)))', '(false R (((! c) | n) | (! d)))', '(true U (((false R a) & (true U ((c & (! d)) & n))) R (((false R a) & (true U ((c & (! d)) & n))) | ((((! c) & (! h)) & i) R ((((! c) & (! h)) & i) | (false R ((c & d) & (! n))))))))', '(false R ((((! c) | (! m)) | (! n)) | d))']",20
unsat143.txt,"['(false R ((! q) | p))', '(((! p) & q) | (true U (p & (false R (! q)))))', '(false R ((! p) | (true U q)))']",0
spec_cl_5.alaska,['(false R ((((! BtoS_ACK4) & (X BtoS_ACK4)) & (X (((! SLC0) & (! SLC1)) & SLC2))) | ((BtoS_ACK4 | (X (! BtoS_ACK4))) & (X ((SLC0 | SLC1) | (! SLC2))))))'],330
counterLinear7.alaska,"['(false R ((! a) | (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X a)))))))))))))))', 'a']",60
lift_f_l_13.alaska,"['(false R (((((((((((((! f0) | ((((((((((((! f1) & (! f2)) & (! f3)) & (! f4)) & (! f5)) & (! f6)) & (! f7)) & (! f8)) & (! f9)) & (! f10)) & (! f11)) & (! f12))) & ((! f1) | (((((((((((! f2) & (! f3)) & (! f4)) & (! f5)) & (! f6)) & (! f7)) & (! f8)) & (! f9)) & (! f10)) & (! f11)) & (! f12)))) & ((! f2) | ((((((((((! f3) & (! f4)) & (! f5)) & (! f6)) & (! f7)) & (! f8)) & (! f9)) & (! f10)) & (! f11)) & (! f12)))) & ((! f3) | (((((((((! f4) & (! f5)) & (! f6)) & (! f7)) & (! f8)) & (! f9)) & (! f10)) & (! f11)) & (! f12)))) & ((! f4) | ((((((((! f5) & (! f6)) & (! f7)) & (! f8)) & (! f9)) & (! f10)) & (! f11)) & (! f12)))) & ((! f5) | (((((((! f6) & (! f7)) & (! f8)) & (! f9)) & (! f10)) & (! f11)) & (! f12)))) & ((! f6) | ((((((! f7) & (! f8)) & (! f9)) & (! f10)) & (! f11)) & (! f12)))) & ((! f7) | (((((! f8) & (! f9)) & (! f10)) & (! f11)) & (! f12)))) & ((! f8) | ((((! f9) & (! f10)) & (! f11)) & (! f12)))) & ((! f9) | (((! f10) & (! f11)) & (! f12)))) & ((! f10) | ((! f11) & (! f12)))) & ((! f11) | (! f12))))', '(false R (true U b12))', '(false R (true U b0))', '(false R ((((((((((((((! b0) | (true U f0)) & ((! b1) | (true U f1))) & ((! b2) | (true U f2))) & ((! b3) | (true U f3))) & ((! b4) | (true U f4))) & ((! b5) | (true U f5))) & ((! b6) | (true U f6))) & ((! b7) | (true U f7))) & ((! b8) | (true U f8))) & ((! b9) | (true U f9))) & ((! b10) | (true U f10))) & ((! b11) | (true U f11))) & ((! b12) | (true U f12))))']",1660
