formula,MUC,time(ms)
pltl-12-0-6-3-0-200003.alaska,['(false R (((X p1) | (X (! p3))) | (X p5)))'],0
pltl-12-0-12-3-0-200007.alaska,['(false R (((X p4) | (X (! p10))) | (X p6)))'],10
pltl-12-0-58-3-0-200006.alaska,['(false R (((X (! p6)) | (X p2)) | (X p1)))'],540
lift_11.alaska,"['(false R (((((((((((((! u) | (((((((((((((! f0) | (X f0)) & ((N (! f0)) | f0)) & (((! f1) | (X f1)) & ((N (! f1)) | f1))) & (((! f2) | (X f2)) & ((N (! f2)) | f2))) & (((! f3) | (X f3)) & ((N (! f3)) | f3))) & (((! f4) | (X f4)) & ((N (! f4)) | f4))) & (((! f5) | (X f5)) & ((N (! f5)) | f5))) & (((! f6) | (X f6)) & ((N (! f6)) | f6))) & (((! f7) | (X f7)) & ((N (! f7)) | f7))) & (((! f8) | (X f8)) & ((N (! f8)) | f8))) & (((! f9) | (X f9)) & ((N (! f9)) | f9))) & (((! f10) | (X f10)) & ((N (! f10)) | f10)))) & ((! f0) | (X (f0 | f1)))) & ((! f1) | (X ((f0 | f1) | f2)))) & ((! f2) | (X ((f1 | f2) | f3)))) & ((! f3) | (X ((f2 | f3) | f4)))) & ((! f4) | (X ((f3 | f4) | f5)))) & ((! f5) | (X ((f4 | f5) | f6)))) & ((! f6) | (X ((f5 | f6) | f7)))) & ((! f7) | (X ((f6 | f7) | f8)))) & ((! f8) | (X ((f7 | f8) | f9)))) & ((! f9) | (X ((f8 | f9) | f10)))) & ((! f10) | (X (f9 | f10)))))', 'f0']",40
pltl-5-0-32-3-0-200005.alaska,['(false R (((X (! p2)) | (X (! p4))) | (X (! p5))))'],60
unsat112.txt,"['(false R ((! h) | (X p)))', '(true U (((h & (! m)) & p) & (X (((! h) & (! p)) | (h & (m | (! p)))))))', '(false R ((! m) | (X (! p))))']",0
spec_cl_14.alaska
unsat171.txt,"['(false R ((! p) | (s R (q | s))))', '((q & (! r)) | (p & ((! s) U ((! q) & (! s)))))', '(false R ((! q) | r))']",0
pltl-12-0-14-3-0-200005.alaska,['(false R (((X p5) | (X p12)) | (X (! p8))))'],10
unsat104.txt,"['(false R ((! h) | (X p)))', '((true U (m & (X p))) R (h | (true U (m & (X p)))))', '(false R ((! m) | (X (! p))))']",0
counter15.alaska,"['a', '(false R ((! a) | (((((((((((((((X (! a)) & (X (X (! a)))) & (X (X (X (! a))))) & (X (X (X (X (! a)))))) & (X (X (X (X (X (! a))))))) & (X (X (X (X (X (X (! a)))))))) & (X (X (X (X (X (X (X (! a))))))))) & (X (X (X (X (X (X (X (X (! a)))))))))) & (X (X (X (X (X (X (X (X (X (! a))))))))))) & (X (X (X (X (X (X (X (X (X (X (! a)))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (! a))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (! a)))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (X (! a))))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (X (X (! a)))))))))))))))) & (X (X (X (X (X (X (X (X (X (X (X (X (X (X (X a))))))))))))))))))']",240
pltl-12-0-7-3-0-200005.alaska,['(false R (((X (! p2)) | (X (! p1))) | (X (! p5))))'],10
unsat41.txt,"['(false R (p | ((! m) & (X l))))', '((X (false R ((! l) & (! m)))) | (true U ((! p) & (X (! l)))))', '(false R ((l | (! p)) | m))']",0
counterLinear15.alaska,"['(false R ((! a) | (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X ((! a) & (X a)))))))))))))))))))))))))))))))', 'a']",320
unsat105.txt,"['(false R ((! h) | (X p)))', '(X ((true U (m & (X p))) R (h | (true U (m & (X p))))))', '(false R ((! m) | (X (! p))))']",0
pltl-5-0-22-3-0-200002.alaska,['(false R (((X (! p3)) | (X (! p1))) | (X (! p2))))'],20
pltl-12-0-84-3-0-200000.alaska,['(false R (((X (! p8)) | (X (! p5))) | (X (! p10))))'],1440
unsat149.txt,"['(false R ((! q) | p))', '(((! p) & q) | (true U (p & (false R (! q)))))', '(false R ((! p) | (true U q)))']",0
pltl-12-0-47-3-0-200002.alaska,['(false R (((X p6) | (X p9)) | (X (! p4))))'],270
